rank,last_rank,trend,name,city,rating,rating_5yr
1,1,stable,Avondale Alternative Nor th,York,10.0,10.0
1,1572,stable,Plymouth,Welland,10.0,5.9
1,1,stable,Khalsa Malton,Mississauga,10.0,10.0
1,n/a,n/a,AI-Manarat Heights,Mississauga,10.0,n/a
1,3,stable,St Justin Mar tyr,Unionville,10.0,10.0
1,n/a,n/a,Al-Ameen,Brampton,10.0,n/a
1,4,stable,Northmount,Toronto,10.0,9.9
1,n/a,n/a,Al-Sadeq Academy,Windsor,10.0,n/a
1,10,stable,St Sebastian,Toronto,10.0,9.5
1,n/a,n/a,Alfajrul Bassem,Oakville,10.0,n/a
1,11,declining,Forest Trail,Oakville,10.0,9.5
1,n/a,n/a,Corpus Christi Richmond,Hill,10.0,n/a
1,20,declining,St Davids/Laura Secord St.,Davids,10.0,9.2
1,n/a,n/a,Cottingham,Toronto,10.0,n/a
1,31,stable,Iroquois,Scarborough,10.0,9.1
1,n/a,n/a,Gracefield St.,Catharines,10.0,n/a
1,44,stable,Corpus Christi,Hamilton,10.0,8.8
1,n/a,n/a,High Park Alternative,Toronto,10.0,n/a
1,120,declining,Kate S Durdan Niagara,Falls,10.0,8.3
1,n/a,n/a,Islamic Institute of Toronto,Scarborough,10.0,n/a
1,133,stable,Applewood St.,Catharines,10.0,8.3
1,n/a,n/a,Islamic School of Cambridge,Cambridge,10.0,n/a
1,209,declining,Heritage Park,Scarborough,10.0,8.0
1,n/a,n/a,Kenollie,Mississauga,10.0,n/a
1,231,declining,Poplar Road,Scarborough,10.0,8.0
1,n/a,n/a,Khalsa Community,Brampton,10.0,n/a
1,231,declining,St Agnes of Assisi,Woodbridge,10.0,8.0
1,n/a,n/a,Ontario Muslim Academy,Cambridge,10.0,n/a
1,532,declining,Red Lake Madsen Red,Lake,10.0,7.3
1,n/a,n/a,Safa & Mar wa Islamic,Mississauga,10.0,n/a
1,n/a,n/a,Sathya Sai,Toronto,10.0,n/a
88,58,declining,Castlemore,Markham,9.2,8.7
